Index,IssueAge,CTP,TBL1CTP,MTP,TBL1MTP
13409,40,,0.420000,9.229000,
13409,41,,0.450000,9.660000,
13409,42,,0.500000,10.129000,
13409,43,,0.540000,10.650000,
13409,44,,0.590000,11.220000,
13409,45,,0.650000,11.860000,
13409,46,,0.710000,12.610000,
13409,47,,0.780000,13.429000,
13409,48,,0.850000,14.340000,
13409,49,,0.940000,15.289000,
13409,50,,1.040000,16.279000,
13409,51,,1.150000,16.669000,
13409,52,,1.270000,17.080000,
13409,53,,1.390000,17.530000,
13409,54,,1.530000,17.970000,
13409,55,,1.680000,18.420000,
13409,56,,1.840000,18.160000,
13409,57,,2.010000,17.899000,
13409,58,,2.200000,17.640000,
13409,59,,2.400000,17.380000,
13409,60,,2.620000,17.119000,
13409,61,,2.730000,18.210000,
13409,62,,2.850000,19.519000,
13409,63,,2.970000,21.229000,
13409,64,,3.100000,23.430000,
13409,65,,3.240000,26.230000,
13409,66,,3.540000,27.289000,
13409,67,,3.880000,28.530000,
13409,68,,4.260000,29.869000,
13409,69,,4.710000,31.500000,
13409,70,,5.210000,33.420000,
13409,71,,5.800000,35.580000,
13409,72,,6.480000,38.160000,
13409,73,,7.260000,41.209000,
13409,74,,8.150000,44.610000,
13409,75,,9.150000,48.670000,
13409,76,,10.290000,52.950000,
13409,77,,11.580000,58.099000,
13409,78,,13.000000,63.640000,
13409,79,,14.570000,69.979000,
13409,80,,16.290000,77.089000,
13410,0,,0.200000,3.340000,
13410,1,,0.080000,3.280000,
13410,2,,0.080000,3.270000,
13410,3,,0.070000,3.280000,
13410,4,,0.060000,3.289000,
13410,5,,0.060000,3.300000,
13410,6,,0.060000,3.330000,
13410,7,,0.070000,3.360000,
13410,8,,0.070000,3.390000,
13410,9,,0.080000,3.430000,
13410,10,,0.090000,3.469000,
13410,11,,0.090000,3.510000,
13410,12,,0.100000,3.550000,
13410,13,,0.110000,3.589000,
13410,14,,0.110000,3.630000,
13410,15,,0.120000,3.660000,
13410,16,,0.120000,3.690000,
13410,17,,0.120000,3.720000,
13410,18,,0.130000,3.750000,
13410,19,,0.130000,3.769000,
13410,20,,0.130000,3.799000,
13410,21,,0.130000,3.829000,
13410,22,,0.130000,3.859000,
13410,23,,0.140000,3.880000,
13410,24,,0.140000,3.930000,
