idx	letter	header	formula	val_r12
196	GN	vR1_Table	=IF(GK12,IF(GM12<=sINPUT_R1_Table_Rating_CeaseAge,sINPUT_R1_Table_Rating,0),0)	0
197	GO	R1 Flat	=IF(GK12,IF(GM12<=sINPUT_R1_Flat_CeaseAge,sINPUT_R1_Flat_Extra*IF(MIN(sINPUT_R1_Cease_Year,sINPUT_R1_MaturityAge)<=6,1,0.8),0),0)	0
198	GP	vR1_Face	=IF(sINPUT_R1_Boolean,IF($C12>=sINPUT_R1_CeaseDate,0,IF(AND(sINPUT_R1_Change_Date<>0,sINPUT_R1_Change_Date<>"",vDate>=sINPUT_R1_Change_Date),sINPUT_R1_Change_Amount,IF(sINPUT_R1_Boolean,sINPUT_R1_Face,0))),0)	0
199	GQ	vR1_Band	=IF(GK12,VLOOKUP(GP12,INDIRECT(sRider1_BandTable),2),0)	0
200	GR	vR1_Change	=AND(OR(GP12<>GP11,GN12<>GN11,GK12<>GK11),GM12<sINPUT_R1_MaturityAge)	False
201	GS	Term Rider 2 / vR2_Active	=GX12>0	False
202	GT	R2 Duration	=IF(sINPUT_R2_Boolean, IF(vInforceValuationDate,sRider2_InforceDuration,IF(vAnniversary,GT11+1,GT11)),0)	0
203	GU	R2 Att Age	=sINPUT_R2_Issue_Age+GT12-1	26
204	GV	vR2_Table	=IF(GS12,IF(GU12<=sINPUT_R2_Table_Rating_CeaseAge,sINPUT_R2_Table_Rating,0),0)	0
205	GW	R2 Flat	=IF(GS12,IF(GU12<=sINPUT_R2_Flat_CeaseAge,sINPUT_R2_Flat_Extra*IF(MIN(sINPUT_R2_Cease_Year,sINPUT_R2_Period)<=6,1,0.8),0),0)	0
206	GX	vR2_Face	=IF(sINPUT_R2_Boolean,IF($C12>=sINPUT_R2_CeaseDate,0,IF(AND(sINPUT_R2_Change_Date<>"",vDate>=sINPUT_R2_Change_Date),sINPUT_R2_Change_Amount,IF(sINPUT_R2_Boolean,sINPUT_R2_Face,0))),0)	0
207	GY	vR2_Band	=IF(GS12,VLOOKUP(GX12,INDIRECT(sRider2_BandTable),2),0)	0
208	GZ	vR2_Change	=AND(OR(GX12<>GX11,GV12<>GV11,GS12<>GS11),GU12<sINPUT_R2_MaturityAge)	False
209	HA	Term Rider 3 / vR3_Active	=HF12>0	False
210	HB	R3 Duration	=IF(sINPUT_R3_Boolean,IF(vInforceValuationDate,sRider3_InforceDuration,IF(vAnniversary,HB11+1,HB11)),0)	0
211	HC	R3 Att Age	=sINPUT_R3_Issue_Age+HB12-1	29
212	HD	vR3_Table	=IF(HA12,IF(HC12<=sINPUT_R3_Table_Rating_CeaseAge,sINPUT_R3_Table_Rating,0),0)	0
213	HE	R3 Flat	=IF(HA12,IF(HC12<=sINPUT_R3_Flat_CeaseAge,sINPUT_R3_Flat_Extra*IF(MIN(sINPUT_R3_Cease_Year,sINPUT_R3_MaturityAge)<=6,1,0.8),0),0)	0
214	HF	vR3_Face	=IF(sINPUT_R3_Boolean,IF($C12>=sINPUT_R3_CeaseDate,0,IF(AND(sINPUT_R3_Change_Date<>"",vDate>=sINPUT_R3_Change_Date),sINPUT_R3_Change_Amount,IF(sINPUT_R3_Boolean,sINPUT_R3_Face,0))),0)	0
215	HG	vR3_Band	=IF(HA12,VLOOKUP(HF12,INDIRECT(sRider3_BandTable),2),0)	0
216	HH	vR3_Change	=AND(OR(HF12<>HF11,HD12<>HD11,HA12<>HA11),HC12<sINPUT_R3_MaturityAge)	False
217	HI	vMaterialChangeIndicator	=IF(NOT(vLiveCalc),FALSE,IF(vAttainedAge*1<100,OR((INDEX(vDBO,vID-1)&vDBO="BA"),vCurrentSA>INDEX(vCurrentSA,vID-1),LL12>0)))	False
218	HJ	=IFERROR(MATCH(1,vPolicyChangeIndicator,0),0) / vPolicyChangeIndicator	=IF(vAttainedAge>100,FALSE,IF(NOT(vLiveCalc),FALSE,OR(1*vCTR_Change,1*vR1_Change,1*vR2_Change,1*vR3_Change,1*vPW_Change,1*vPWST_Change,1*vGIO_Change,1*vCoverage_Change)))	False
219	HK	=MAX(HK7:HK1482) / vChangeCount	=IF(OR(HI12,HJ12),MIN(sMax7702RecalcsAllowed,HK11+1),HK11)	0
220	HL	vChangeMonth	=IF(HK12>HK11,vPolicyMonth,HL11)	1
221	HM	vAV_AfterChanges	=AV12-vPolicyChangeAVReduction	-67.95171802659586
222	HN			
223	HO	Coverage Segments MTP Rate / MTP Rate Cov 1	=PolicyRates!I10	6.19
224	HP	MTP Rate Cov 2	=PolicyRates!J10	0
225	HQ	MTP Rate Cov 3	=PolicyRates!K10	0
226	HR	MTP Rate APB	=PolicyRates!L10	0
227	HS	MTP Rate Cov 1 Tbl	=PolicyRates!M10	0
228	HT	MTP Rate Cov 2 Tbl	=PolicyRates!N10	0
229	HU	MTP Rate Cov 3 Tbl	=PolicyRates!O10	0
230	HV	MTP Rate APB Tbl	=PolicyRates!P10	0
231	HW	MTP Premium / MTP Cov 1	=ROUND(CHOOSE(sTarget_SA_Basis,EP12,EU12)*HO12/1000,2) + ROUND($FK12*HS12*CHOOSE(sTarget_SA_Basis,EP12,EU12)/1000,2) + ROUND((12*TRUNC($FN12/12,2)+12*TRUNC($FO12/12,2))*CHOOSE(sTarget_SA_Basis,EP12,EU12)/1000,2)	154.75
