idx	letter	header	formula	val_r6	val_r12
63	BK	Cov / 3	=IF(BJ12,IF($BA12=0, 0, MIN(AJ12,MAX(0,($BA12-SUMIF($AH$5:$AK$5,">"&BK$5,$AH12:$AK12)))) ),0)	0	0
64	BL	APB / 4	=IF(BK12,IF($BA12=0, 0, MIN(AK12,MAX(0,($BA12-SUMIF($AH$5:$AK$5,">"&BL$5,$AH12:$AK12)))) ),0)	0	0
65	BM	Partial SC	=IF(NOT(sbln_PSC), 0,SUMPRODUCT(BI12:BK12,AN12:AP12)/1000)	0	0
66	BN	vGrossWD	=IF(BA12>0,BA12+IF(BH12,BM12,0)+sWithdrawalFee,0)	0	0
67	BO	AV post WD	=W12-BN12	0	-159.6337540224544
68	BP	vWD_FaceDecrease	=IF(BH12,IF(BA12=0,0,BN12)-IF(sTarget_SA_Basis=1,sWithdrawalFee,0),0)	0	0
69	BQ	SA After Withdrawal / Cov / 1	=IF($BP12=0, AH12, AH12-MIN(AH12,MAX(0,($BP12-SUMIF($AH$5:$AJ$5,">"&BQ$5,$AH12:$AJ12)))) )	0	150000
70	BR	Cov / 2	=IF($BP12=0, AI12, AI12-MIN(AI12,MAX(0,($BP12-SUMIF($AH$5:$AJ$5,">"&BR$5,$AH12:$AJ12)))) )	0	0
71	BS	Cov / 3	=IF($BP12=0, AJ12, AJ12-MIN(AJ12,MAX(0,($BP12-SUMIF($AH$5:$AJ$5,">"&BS$5,$AH12:$AJ12)))) )	0	0
72	BT	APB / 4	=IF($BP12=0, AK12, AK12-MIN(AK12,MAX(0,($BP12-SUMIF($AH$5:$AJ$5,">"&BT$5,$AH12:$AJ12)))) )	0	0
73	BU	Total SA	=SUM(BQ12:BS12)	0	150000
74	BV				
75	BW	Prev DBO	=IF(vLiveCalc*1,CT11,BW11)	A	A
76	BX	DB	=MAX(IF(BW12="A",BU12,IF(BW12="B",BU12+BO12,IF(BW12="C",BU12+MAX(0,AG12-BD12)))),BO12*IF(sINPUT_Guideline="GPT",OR12,IF(sINPUT_Guideline="CVAT",BO12,1)))	0	150000
77	BY	Input DBO	=TRIM(INDEX(vINPUT_DBO,vYear))	A	A
78	BZ	blnChange	=AND(vLiveCalc*1,BW12<>BY12)	False	False
79	CA	Change Type	=IF(BZ12,BW12&"2"&BY12,"")		
80	CB	Change To Face	=TRUNC(IF(CA12="A2B",-MAX(0,BO12),0)+ IF(CA12="B2A",MAX(0,BO12),0)+ IF(CA12="C2A",AG12,0)+ IF(CA12="C2B",AG12-BO12,0),0)	0	0
81	CC	DBO Change Allowed	=IF(BU12+CB12>=25000,TRUE,FALSE)	False	True
82	CD	Decrease - Specified Amount / vDBO_FaceDecrease	=IF(CC12,IF(CB12<0,-CB12,0),0)	0	0
83	CE	Cov / 1	=IF($CD12=0, BQ12, BQ12-MIN(BQ12,MAX(0,$CD12-SUMIF($BQ$5:$BS$5,">"&CE$5,$BQ12:$BS12))) )	0	150000
84	CF	Cov / 2	=IF($CD12=0, BR12, BR12-MIN(BR12,MAX(0,$CD12-SUMIF($BQ$5:$BS$5,">"&CF$5,$BQ12:$BS12))) )	0	0
85	CG	Cov / 3	=IF($CD12=0, BS12, BS12-MIN(BS12,MAX(0,$CD12-SUMIF($BQ$5:$BS$5,">"&CG$5,$BQ12:$BS12))) )	0	0
